video_path,label_name,subject,cam,dataset,split_group,window_start,window_end,target_frame,obs_len,k_frames,target_fps,sample_interval,y,fall_start_frame,split,pose_feature_path
/data/final_project_dataset/OOPs/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724.mp4,fall,falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,-1,OOPs,OOPs:falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,0,16,16,16,10,10,2.997,1,23,train,/data/final_project_dataset/rtmpose_features_oops/window_pose/window_00000000.npy
/data/final_project_dataset/OOPs/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724.mp4,fall,falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,-1,OOPs,OOPs:falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,2,18,18,16,10,10,2.997,1,23,train,/data/final_project_dataset/rtmpose_features_oops/window_pose/window_00000001.npy
/data/final_project_dataset/OOPs/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724.mp4,fall,falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,-1,OOPs,OOPs:falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,4,20,20,16,10,10,2.997,1,23,train,/data/final_project_dataset/rtmpose_features_oops/window_pose/window_00000002.npy
/data/final_project_dataset/OOPs/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724.mp4,fall,falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,-1,OOPs,OOPs:falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,6,22,22,16,10,10,2.997,1,23,train,/data/final_project_dataset/rtmpose_features_oops/window_pose/window_00000003.npy
/data/final_project_dataset/OOPs/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176.mp4,fall,falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,-1,OOPs,OOPs:falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,4,20,20,16,10,10,2.997,1,30,train,/data/final_project_dataset/rtmpose_features_oops/window_pose/window_00000004.npy
/data/final_project_dataset/OOPs/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176.mp4,fall,falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,-1,OOPs,OOPs:falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,6,22,22,16,10,10,2.997,1,30,train,/data/final_project_dataset/rtmpose_features_oops/window_pose/window_00000005.npy
/data/final_project_dataset/OOPs/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176.mp4,fall,falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,-1,OOPs,OOPs:falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,8,24,24,16,10,10,2.997,1,30,train,/data/final_project_dataset/rtmpose_features_oops/window_pose/window_00000006.npy
/data/final_project_dataset/OOPs/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176.mp4,fall,falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,-1,OOPs,OOPs:falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,10,26,26,16,10,10,2.997,1,30,train,/data/final_project_dataset/rtmpose_features_oops/window_pose/window_00000007.npy
/data/final_project_dataset/OOPs/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176.mp4,fall,falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,-1,OOPs,OOPs:falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,12,28,28,16,10,10,2.997,1,30,train,/data/final_project_dataset/rtmpose_features_oops/window_pose/window_00000008.npy
/data/final_project_dataset/OOPs/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176.mp4,fall,falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,-1,OOPs,OOPs:falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,54,70,70,16,10,10,2.997,0,93,train,/data/final_project_dataset/rtmpose_features_oops/window_pose/window_00000009.npy
